S. No.,UWTP ID,Lat Long,State ,Design capacity (MLD),Operational capacity (MLD),BOD_P1(mg/L),BOD_P2(mg/L),BOD_P3(mg/L),COD_P1(mg/L),COD_P2(mg/L),COD_P3(mg/L),TP_P1(mg/L),TP_P2(mg/L),TP_P3(mg/L),TN_P1(mg/L),TN_P2(mg/L),TN_p3(mg/L),TSS_P1(mg/L),TSS_P2(mg/L),TSS_P3(mg/L),FC_P1(MPN/100ml),FC_P2(MPN/100ml),FC_P3(MPN/100ml),BOD SCORE (11 mg/L),COD SCORE    (55 mg/L),TP SCORE        (1.1 mg/L),TN SCORE           (11 mg/L),TSS SCORE   (22 mg/L),FC SCORE    (253 MPN/100 mL),TOTAL SCORE  (MAX. 60),Latitude,Longitude
1,TN-803339-023,"13.0373199, 80.195908",Tamil Nadu,10,10,,42,5.8,,116,23.7,,1.6,0.42,,39,39,,38,2.1,,210,140,10,10,10,0,10,10,50,13.0373199,80.195908
2,TN-803339-10,"13.033739, 80.193252",Tamil Nadu,54,37.43,,42,9,,102,32,,1.4,0.28,,16,35,,28,1,,120,220,10,10,10,0,10,10,50,13.033739,80.193252
3,KA-803054-005,"16.783169, 75.737179",Karnataka,0.25,0.2,,18.5,15.6,,64.58,55.6,,1.39,7.44,,14.03,49.4,,37,10,,2,46,0,0,0,0,10,10,20,16.783169,75.737179
4,PB-800174-001,"31.949810, 75.598168",Punjab,5,2.5,,66,16,,220,43.2,,1.6,3.2,,28.4,20.46,,46,34,,542,14,0,10,0,0,0,10,20,31.94981,75.598168
5,RJ-800509-002,"26.0842442, 76.3780175",Rajasthan,10,0,,3,13.8,,40,36.3,,0.85,0.12,,1,0.98,,4,5,,26,11,0,10,10,10,10,10,50,26.0842442,76.3780175
6,KA-803067-001,"16.2293447, 77.3347508",Karnataka,20,20,,6.6,7.74,,32.13,28.3,,1,0.56,,10.8,2.69,,19,44,,2,70,10,10,10,10,0,10,50,16.2293447,77.3347508
7,RJ-800557-001,"24.5773017, 72.73278",Rajasthan,6,2.8,,2.5,1,,38,5,,0.38,0.05,,1.2,1,,4.5,6,,68,6,10,10,10,10,10,10,60,24.5773017,72.73278
8,HR-800369-005,"30.1160534, 77.2631847",HARYANA,25,25,2.4,11,1.5,7.97,54,6.5,0.054,2.2,0.13,1.34,16.2,1,14,12,5,140,460,4,10,10,10,10,10,10,60,30.1160534,77.2631847
9,HR-800369-004,"30.1291177, 77.3344166",HARYANA,24,24,2,14,7,5,65,25,0.144,2.24,0.05,1.99,15.5,1,12,14,56,90,520,25,10,10,10,10,0,10,50,30.1291177,77.3344166
10,HR-800369-001,"30.1212605, 77.3008013",HARYANA,10,10,5,12,1,15.9,60,4.5,0.114,2.13,0.12,0.75,22.8,1,18,11,5,170,510,3,10,10,10,10,10,10,60,30.1212605,77.3008013
11,HR-800369-002,"30.1278098, 77.2992349",HARYANA,10,10,11.4,11,2.5,35.8,52,12,0.076,2.16,0.72,1.71,18.9,1,26,14,8,60,540,6,10,10,10,10,10,10,60,30.1278098,77.2992349
12,HR-800369-003,"30.1161651, 77.2642939",HARYANA,20,20,11.5,10,1,36,50,5,0.146,2.7,0.05,0.53,28.9,1,10,9,5,26,240,3,10,10,10,10,10,10,60,30.1161651,77.2642939
13,DL-900118-024,"28.6460569, 77.0897219",Delhi,54.48,54.48,3,7,7.5,20,38,20,0,0.05,0.26,0,1.3,3.1,0,5,8,1.8,1.8,18,10,10,10,10,10,10,60,28.6460569,77.0897219
14,HR-800429-003,"28.4795314, 76.9907675",Haryana,50,45,5,5,1,20,25,6,0.05,0.05,0.05,1,1.4,1,5,5,5,1400,9200,4,10,10,10,10,10,10,60,28.4795314,76.9907675
15,DL-900118-036,"28.5870845, 77.0258129",DELHI,90.8,90.8,4,3,14,20,14,40,0,0.05,0.2,0,0.6,2.4,0,5,2,1.8,130,25,0,10,10,10,10,10,50,28.5870845,77.0258129
16,DL-900118-002,"28.52252252, 77.06514914",DELHI,23,23,13,5,23,70,26,90,0,0.05,1.7,0,1.6,16.4,0,5,45.9,2800,1700,120,0,0,0,0,0,10,10,28.52252252,77.06514914
17,HR-800429-007,"28.4723257, 76.9927485",Haryana,68,55,5,7,46,20,34,190,0.05,0.05,2.86,1,1.2,6.6,5,5,22,3500,7.8,110,0,0,0,10,10,10,30,28.4723257,76.9927485
18,WB-801744-001,"22.4735617, 88.1878038",West Bengal,9.3,9.3,5,23,19.2,12.48,49,58,1,0.8,0.21,22.64,6.64,11.2,10,25,16,1,22,10,0,0,10,0,10,10,30,22.4735617,88.1878038
19,HR-800430-001,"28.45142, 76.8157283",HARYANA,3,3,10,110,3,48,300,10,0.05,6,0.05,1,21.26,1,5,264,5,1.8,16,6,10,10,10,10,10,10,60,28.45142,76.8157283
20,HR-800380-001,"29.8738967, 77.05054",Haryana,4,2.296,6,7,4,30,20,3,0,0.5,0.18,0,4.53,1,0,14,13,920,11,4,10,10,10,10,10,10,60,29.8738967,77.05054
21,MP-802090-001,"26.5792478, 78.8281773",Madhya Pradesh,12,7,7.2,5.2,4.8,60,24,30,1.7502,0.05,4.28,8.24,0.5,8.96,12,5,8,1600,940,110,10,10,0,10,10,10,50,26.5792478,78.8281773
